Symbol,Element,AtomicMass,Category,Phase,f_std_Hz,f_phi2_Hz,phase_damping,f_std_phase_Hz,f_phi2_phase_Hz
H,Hydrogen,1.007,Con,gas,2.27E+23,8.66E+22,0.6,1.36E+23,5.20E+22
He,Helium,4.002,Div,gas,9.01E+23,3.44E+23,0.6,5.41E+23,2.07E+23
Li,Lithium,6.941,Off,solid,1.56E+24,5.97E+23,1,1.56E+24,5.97E+23
Be,Beryllium,9.012,Neu,solid,2.03E+24,7.75E+23,1,2.03E+24,7.75E+23
B,Boron,10.811,Div,solid,2.44E+24,9.30E+23,1,2.44E+24,9.30E+23
C,Carbon,12.011,Con,solid,2.71E+24,1.03E+24,1,2.71E+24,1.03E+24
N,Nitrogen,14.007,Off,gas,3.15E+24,1.21E+24,0.6,1.89E+24,7.23E+23
O,Oxygen,15.999,Ret,gas,3.60E+24,1.38E+24,0.6,2.16E+24,8.26E+23
F,Fluorine,18.998,Div,gas,4.28E+24,1.63E+24,0.6,2.57E+24,9.81E+23
Ne,Neon,20.18,Div,gas,4.55E+24,1.74E+24,0.6,2.73E+24,1.04E+24
Na,Sodium,22.99,Neu,solid,5.18E+24,1.98E+24,1,5.18E+24,1.98E+24
Mg,Magnesium,24.305,Neu,solid,5.47E+24,2.09E+24,1,5.47E+24,2.09E+24
Al,Aluminum,26.982,Off,solid,6.08E+24,2.32E+24,1,6.08E+24,2.32E+24
Si,Silicon,28.086,Div,solid,6.33E+24,2.42E+24,1,6.33E+24,2.42E+24
P,Phosphorus,30.974,Off,solid,6.98E+24,2.66E+24,1,6.98E+24,2.66E+24
S,Sulfur,32.065,Con,solid,7.22E+24,2.76E+24,1,7.22E+24,2.76E+24
Cl,Chlorine,35.453,Div,gas,7.99E+24,3.05E+24,0.6,4.79E+24,1.83E+24
Ar,Argon,39.948,Neu,gas,9.00E+24,3.44E+24,0.6,5.40E+24,2.06E+24
K,Potassium,39.098,Off,solid,8.81E+24,3.36E+24,1,8.81E+24,3.36E+24
Ca,Calcium,40.078,Neu,solid,9.03E+24,3.45E+24,1,9.03E+24,3.45E+24
Sc,Scandium,44.956,Off,solid,1.01E+25,3.87E+24,1,1.01E+25,3.87E+24
Ti,Titanium,47.867,Con,solid,1.08E+25,4.12E+24,1,1.08E+25,4.12E+24
V,Vanadium,50.942,Off,solid,1.15E+25,4.38E+24,1,1.15E+25,4.38E+24
Cr,Chromium,51.996,Con,solid,1.17E+25,4.47E+24,1,1.17E+25,4.47E+24
Mn,Manganese,54.938,Off,solid,1.24E+25,4.73E+24,1,1.24E+25,4.73E+24
Fe,Iron,55.845,Con,solid,1.26E+25,4.80E+24,1,1.26E+25,4.80E+24
Co,Cobalt,58.933,Off,solid,1.33E+25,5.07E+24,1,1.33E+25,5.07E+24
Ni,Nickel,58.693,Neu,solid,1.32E+25,5.05E+24,1,1.32E+25,5.05E+24
Cu,Copper,63.546,Div,solid,1.43E+25,5.47E+24,1,1.43E+25,5.47E+24
Zn,Zinc,65.38,Off,solid,1.47E+25,5.62E+24,1,1.47E+25,5.62E+24
Ga,Gallium,69.723,Off,solid,1.57E+25,6.00E+24,1,1.57E+25,6.00E+24
Ge,Germanium,72.64,Div,solid,1.64E+25,6.25E+24,1,1.64E+25,6.25E+24
As,Arsenic,74.922,Off,solid,1.69E+25,6.45E+24,1,1.69E+25,6.45E+24
Se,Selenium,78.96,Ret,solid,1.78E+25,6.79E+24,1,1.78E+25,6.79E+24
Br,Bromine,79.904,Div,liq,1.80E+25,6.87E+24,1,1.80E+25,6.87E+24
Kr,Krypton,83.798,Div,gas,1.89E+25,7.21E+24,0.6,1.13E+25,4.33E+24
Rb,Rubidium,85.468,Off,solid,1.93E+25,7.35E+24,1,1.93E+25,7.35E+24
Sr,Strontium,87.62,Neu,solid,1.97E+25,7.54E+24,1,1.97E+25,7.54E+24
Y,Yttrium,88.906,Off,solid,2.00E+25,7.65E+24,1,2.00E+25,7.65E+24
Zr,Zirconium,91.224,Con,solid,2.05E+25,7.85E+24,1,2.05E+25,7.85E+24
Nb,Niobium,92.906,Off,solid,2.09E+25,7.99E+24,1,2.09E+25,7.99E+24
Mo,Molybdenum,95.96,Con,solid,2.16E+25,8.26E+24,1,2.16E+25,8.26E+24
Tc,Technetium,98,Anom,artificial,2.21E+25,8.43E+24,1,2.21E+25,8.43E+24
Ru,Ruthenium,101.07,Con,solid,2.28E+25,8.70E+24,1,2.28E+25,8.70E+24
Rh,Rhodium,102.906,Off,solid,2.32E+25,8.85E+24,1,2.32E+25,8.85E+24
Pd,Palladium,106.42,Con,solid,2.40E+25,9.16E+24,1,2.40E+25,9.16E+24
Ag,Silver,107.868,Con,solid,2.43E+25,9.28E+24,1,2.43E+25,9.28E+24
Cd,Cadmium,112.411,Off,solid,2.53E+25,9.67E+24,1,2.53E+25,9.67E+24
In,Indium,114.818,Off,solid,2.59E+25,9.88E+24,1,2.59E+25,9.88E+24
Sn,Tin,118.71,Ret,solid,2.67E+25,1.02E+25,1,2.67E+25,1.02E+25
Sb,Antimony,121.76,Off,solid,2.74E+25,1.05E+25,1,2.74E+25,1.05E+25
Te,Tellurium,127.6,Ret,solid,2.87E+25,1.10E+25,1,2.87E+25,1.10E+25
I,Iodine,126.904,Ret,solid,2.86E+25,1.09E+25,1,2.86E+25,1.09E+25
Xe,Xenon,131.293,Div,gas,2.96E+25,1.13E+25,0.6,1.77E+25,6.78E+24
Cs,Cesium,132.905,Off,solid,2.99E+25,1.14E+25,1,2.99E+25,1.14E+25
Ba,Barium,137.327,Neu,solid,3.09E+25,1.18E+25,1,3.09E+25,1.18E+25
La,Lanthanum,138.905,Off,solid,3.13E+25,1.20E+25,1,3.13E+25,1.20E+25
Ce,Cerium,140.116,Ret,solid,3.16E+25,1.21E+25,1,3.16E+25,1.21E+25
Pr,Praseodymium,140.908,Off,solid,3.17E+25,1.21E+25,1,3.17E+25,1.21E+25
Nd,Neodymium,144.242,Off,solid,3.25E+25,1.24E+25,1,3.25E+25,1.24E+25
Pm,Promethium,145,Anom,artificial,3.27E+25,1.25E+25,1,3.27E+25,1.25E+25
Sm,Samarium,150.36,Ret,solid,3.39E+25,1.29E+25,1,3.39E+25,1.29E+25
Eu,Europium,151.964,Ret,solid,3.42E+25,1.31E+25,1,3.42E+25,1.31E+25
Gd,Gadolinium,157.25,Off,solid,3.54E+25,1.35E+25,1,3.54E+25,1.35E+25
Tb,Terbium,158.925,Off,solid,3.58E+25,1.37E+25,1,3.58E+25,1.37E+25
Dy,Dysprosium,162.5,Ret,solid,3.66E+25,1.40E+25,1,3.66E+25,1.40E+25
Ho,Holmium,164.93,Off,solid,3.71E+25,1.42E+25,1,3.71E+25,1.42E+25
Er,Erbium,167.259,Ret,solid,3.77E+25,1.44E+25,1,3.77E+25,1.44E+25
Tm,Thulium,168.934,Off,solid,3.80E+25,1.45E+25,1,3.80E+25,1.45E+25
Yb,Ytterbium,173.054,Neu,solid,3.90E+25,1.49E+25,1,3.90E+25,1.49E+25
Lu,Lutetium,174.967,Off,solid,3.94E+25,1.51E+25,1,3.94E+25,1.51E+25
Hf,Hafnium,178.49,Con,solid,4.02E+25,1.54E+25,1,4.02E+25,1.54E+25
Ta,Tantalum,180.948,Off,solid,4.08E+25,1.56E+25,1,4.08E+25,1.56E+25
W,Wolfram,183.84,Con,solid,4.14E+25,1.58E+25,1,4.14E+25,1.58E+25
Re,Rhenium,186.207,Off,solid,4.19E+25,1.60E+25,1,4.19E+25,1.60E+25
Os,Osmium,190.23,Con,solid,4.28E+25,1.64E+25,1,4.28E+25,1.64E+25
Ir,Iridium,192.217,Con,solid,4.33E+25,1.65E+25,1,4.33E+25,1.65E+25
Pt,Platinum,195.084,Con,solid,4.39E+25,1.68E+25,1,4.39E+25,1.68E+25
Au,Gold,196.967,Con,solid,4.44E+25,1.69E+25,1,4.44E+25,1.69E+25
Hg,Mercury,200.59,Anom,liq,4.52E+25,1.73E+25,1,4.52E+25,1.73E+25
Tl,Thallium,204.383,Off,solid,4.60E+25,1.76E+25,1,4.60E+25,1.76E+25
Pb,Lead,207.2,Anom,solid,4.67E+25,1.78E+25,1,4.67E+25,1.78E+25
Bi,Bismuth,208.98,Off,solid,4.71E+25,1.80E+25,1,4.71E+25,1.80E+25
